Report ID,Date,Site,Location,Activity,Report Type,Description,SIF Potential,Confidence,Life Saving Rule,Barrier Failure,Review Status
OIL-2026-0082,2026-08-27,Moran Gas Gathering Station (GGS-1),Gas Gathering Station (GGS),Routine Inspection & Housekeeping,Unsafe Condition,"Fixed toxic gas detector at Moran GGS compressor hall had power cable disconnected, disabling early detection alarm for hazardous gas leak in confined compressor shed.",YES,89.6%,Toxic Gas & H2S Exposure,Gas Monitoring / Detection System Failure,APPROVED
OIL-2026-0083,2026-05-09,Moran Gas Gathering Station (GGS-1),Crude Storage & Separation Unit,Hot Work & Fabrication,Near Miss,Welder initiated hot work arc welding on test separator skid while flammable hydrocarbon vapors were venting from nearby atmospheric vent pipe. Fire blanket was not deployed.,YES,88.2%,Hot Work,Hot Work Controls & Fire Watch Deficient,APPROVED
OIL-2026-0084,2026-08-16,Naharkatiya Drilling Rig D-14,Site Facility,Crane & Mechanical Lifting,Unsafe Condition,Mobile 25-ton hydraulic crane was lifting a 6-ton mud pump skid using a severely frayed synthetic webbing sling showing cut fibers and without third-party load test certification. Crew was standing directly under suspended load.,YES,88.2%,Safe Mechanical Lifting,Rigging & Sling Integrity Compromised,NOT_REQUIRED
OIL-2026-0085,2026-03-23,Dikom Pipeline Manifold & Pigging Area,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Technician walked across non-operational asphalt parking lot without wearing clear safety spectacles in broad daylight.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0086,2026-01-18,Shalmari Workover Rig WR-05,Rig Floor & Wellhead Area,Drilling & Well Construction,Near Miss,"While hoisting drill collars on Rig WR-05, an unlatched 4-inch casing tong jaw weighing 18 kg slipped from the derrick and fell 12 meters, landing 1.5 meters from the floor roughneck in the line of fire.",YES,92.4%,Hot Work,Standard Operational Anomaly,APPROVED
OIL-2026-0087,2026-01-24,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Drilling & Well Construction,Unsafe Condition,Blowout preventer (BOP) hydraulic control accumulator low-pressure audible alarm buzzer was silenced and wire disconnected on the remote control panel on rig floor.,YES,98.0%,Bypassing Safety Controls,Gas Monitoring / Detection System Failure,APPROVED
OIL-2026-0088,2026-07-31,Baghjan Well Area B-02,Rig Floor & Wellhead Area,Well Intervention & Workover,Near Miss,Wireline crew opened wellhead swab valve on sour gas well B-02 without wearing personal multi-gas detectors or keeping 30-minute positive pressure SCBA units ready at the staging area. H2S concentration registered 15 ppm shortly after.,YES,96.6%,Toxic Gas & H2S Exposure,Gas Monitoring / Detection System Failure,APPROVED
OIL-2026-0089,2026-05-20,Kusijan Water Injection Plant,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Emergency eye wash station dust covers were missing in the water testing laboratory. Water flow testing confirmed unit operates normally.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0090,2026-02-05,Kusijan Water Injection Plant,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Emergency eye wash station dust covers were missing in the water testing laboratory. Water flow testing confirmed unit operates normally.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0091,2026-06-21,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Vessel & Tank Cleaning,Unsafe Act,"Technician climbed inside cellar pit on Rig D-14 to retrieve dropped wrench without an entry permit, gas test, or forced ventilation while drilling mud was degassing nearby.",NO,78.4%,Confined Space,Permit to Work & Authorization Violation,NOT_REQUIRED
OIL-2026-0092,2026-02-15,Madhuban EPS & Separation Plant,Site Facility,Mechanical Maintenance & Piping,Unsafe Act,Control room operator installed a manual mechanical lock on emergency shutdown valve ESDV-101 to prevent recurring production line shutdown without obtaining signed Management of Change (MOC) bypass permit.,NO,72.8%,Bypassing Safety Controls,Permit to Work & Authorization Violation,PENDING_REVIEW
OIL-2026-0093,2026-05-19,Dikom Pipeline Manifold & Pigging Area,Pipeline Manifold & Pigging Station,Pressure Testing & Purging,Unsafe Condition,High-pressure hydrotest manifold pressurized to 4500 psi was missing safety whipchecks and securing safety cables on the flexible hose connections in the main crew walkway.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0094,2026-06-08,Jorajan Wellhead Installation W-22,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Muster point directional sign board paint was faded and weathered by sunlight near the perimeter fence gate.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0095,2026-02-27,Jorajan Wellhead Installation W-22,Crude Storage & Separation Unit,Crude & Material Transportation,Unsafe Act,Crude oil bowser tanker was tracked on IVMS speeding at 78 km/h in a 30 km/h restricted oilfield unpaved corridor during heavy rain. Driver was observed using mobile phone without wearing seatbelt.,NO,72.8%,Driving & Transportation,Driver Safety & Journey Control Non-Compliance,PENDING_REVIEW
OIL-2026-0096,2026-07-16,Madhuban EPS & Separation Plant,Site Facility,Mechanical Maintenance & Piping,Unsafe Act,Control room operator installed a manual mechanical lock on emergency shutdown valve ESDV-101 to prevent recurring production line shutdown without obtaining signed Management of Change (MOC) bypass permit.,NO,72.8%,Bypassing Safety Controls,Permit to Work & Authorization Violation,PENDING_REVIEW
OIL-2026-0097,2026-06-29,Madhuban EPS & Separation Plant,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Operator discarded used oily cleaning cotton rags in standard general waste bin instead of designated red hazardous waste container.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0098,2026-07-05,Tengakhat Compressor Station,HP Compressor House,Scaffolding & Rigging,Unsafe Condition,"Scaffold erected for high-pressure gas header inspection at Tengakhat Compressor Station had missing middle guard rails, loose wooden planks, and no toe-boards at a working height of 7.5 meters.",YES,89.6%,Working at Height,Fall Protection / Guardrails Inadequate,NOT_REQUIRED
OIL-2026-0099,2026-06-19,Moran Gas Gathering Station (GGS-1),Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Inspection tag on 5 kg CO2 fire extinguisher in the lunchroom was expired by two weeks. Pressure gauge indicator was within normal green range.,NO,72.8%,Hot Work,Hot Work Controls & Fire Watch Deficient,PENDING_REVIEW
OIL-2026-0100,2026-04-26,Naharkatiya Drilling Rig D-14,Site Facility,Crane & Mechanical Lifting,Unsafe Condition,Mobile 25-ton hydraulic crane was lifting a 6-ton mud pump skid using a severely frayed synthetic webbing sling showing cut fibers and without third-party load test certification. Crew was standing directly under suspended load.,YES,88.2%,Safe Mechanical Lifting,Rigging & Sling Integrity Compromised,NOT_REQUIRED
OIL-2026-0101,2026-02-03,Digboi Production Facility & Tank Farm,Pipeline Manifold & Pigging Station,Crude & Material Transportation,Near Miss,"Heavy pipe delivery flatbed truck suffered brake failure while descending steep grade near Digboi bypass due to unperformed pre-trip brake inspection, narrowly avoiding rollover into pipeline easement.",NO,72.8%,Bypassing Safety Controls,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0102,2026-03-02,Shalmari Workover Rig WR-05,Rig Floor & Wellhead Area,Drilling & Well Construction,Near Miss,"While hoisting drill collars on Rig WR-05, an unlatched 4-inch casing tong jaw weighing 18 kg slipped from the derrick and fell 12 meters, landing 1.5 meters from the floor roughneck in the line of fire.",YES,92.4%,Hot Work,Standard Operational Anomaly,APPROVED
OIL-2026-0103,2026-06-03,Moran Gas Gathering Station (GGS-1),Gas Gathering Station (GGS),Mechanical Maintenance & Piping,Near Miss,"During scheduled maintenance of crude booster pump P-102B at Moran GGS, technician began unbolting the pump casing before verifying that the 415V electrical breaker had been locked out and tagged. The circuit was still energized.",YES,93.8%,Energy Isolation,LOTO / Energy Isolation not verified,NOT_REQUIRED
OIL-2026-0104,2026-03-01,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Drilling & Well Construction,Unsafe Condition,Blowout preventer (BOP) hydraulic control accumulator low-pressure audible alarm buzzer was silenced and wire disconnected on the remote control panel on rig floor.,YES,98.0%,Bypassing Safety Controls,Gas Monitoring / Detection System Failure,APPROVED
OIL-2026-0105,2026-06-14,Digboi Production Facility & Tank Farm,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,"One fluorescent ceiling light tube in the field instrumentation tool room was flickering, causing slightly dim lighting over the workbench.",NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0106,2026-03-03,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Mechanical Maintenance & Piping,Unsafe Act,Fitter opened high-pressure drain valve on separator V-301 without depressurizing the manifold. 85 psi trapped hydrocarbon condensate escaped near operators. No LOTO applied on upstream isolation valve.,YES,96.6%,Energy Isolation,LOTO / Energy Isolation not verified,APPROVED
OIL-2026-0107,2026-08-12,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Mechanical Maintenance & Piping,Unsafe Act,Fitter opened high-pressure drain valve on separator V-301 without depressurizing the manifold. 85 psi trapped hydrocarbon condensate escaped near operators. No LOTO applied on upstream isolation valve.,YES,96.6%,Energy Isolation,LOTO / Energy Isolation not verified,NOT_REQUIRED
OIL-2026-0108,2026-03-05,Moran Gas Gathering Station (GGS-1),Gas Gathering Station (GGS),Routine Inspection & Housekeeping,Unsafe Condition,"Fixed toxic gas detector at Moran GGS compressor hall had power cable disconnected, disabling early detection alarm for hazardous gas leak in confined compressor shed.",YES,89.6%,Toxic Gas & H2S Exposure,Gas Monitoring / Detection System Failure,NOT_REQUIRED
OIL-2026-0109,2026-02-27,Baghjan Well Area B-02,Rig Floor & Wellhead Area,Well Intervention & Workover,Near Miss,Wireline crew opened wellhead swab valve on sour gas well B-02 without wearing personal multi-gas detectors or keeping 30-minute positive pressure SCBA units ready at the staging area. H2S concentration registered 15 ppm shortly after.,YES,96.6%,Toxic Gas & H2S Exposure,Gas Monitoring / Detection System Failure,NOT_REQUIRED
OIL-2026-0110,2026-08-31,Madhuban EPS & Separation Plant,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Operator discarded used oily cleaning cotton rags in standard general waste bin instead of designated red hazardous waste container.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0111,2026-05-30,Shalmari Workover Rig WR-05,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Contractor employee was carrying two small 2-meter plastic conduit pipes across the yard without a helper.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0112,2026-05-05,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Drilling & Well Construction,Unsafe Condition,Blowout preventer (BOP) hydraulic control accumulator low-pressure audible alarm buzzer was silenced and wire disconnected on the remote control panel on rig floor.,YES,98.0%,Bypassing Safety Controls,Gas Monitoring / Detection System Failure,APPROVED
OIL-2026-0113,2026-07-29,Baghjan Well Area B-02,Rig Floor & Wellhead Area,Well Intervention & Workover,Near Miss,Wireline crew opened wellhead swab valve on sour gas well B-02 without wearing personal multi-gas detectors or keeping 30-minute positive pressure SCBA units ready at the staging area. H2S concentration registered 15 ppm shortly after.,YES,96.6%,Toxic Gas & H2S Exposure,Gas Monitoring / Detection System Failure,NOT_REQUIRED
OIL-2026-0114,2026-01-28,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Vessel & Tank Cleaning,Near Miss,Contract cleaning crew entered Crude Storage Tank T-04 through bottom manhole without conducting continuous multi-gas atmospheric testing. Oxygen level was later tested at 18.2% and standby watch was absent.,NO,72.8%,Confined Space,Confined Space Entry Protocol Violated,PENDING_REVIEW
OIL-2026-0115,2026-04-24,Moran Gas Gathering Station (GGS-1),Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Inspection tag on 5 kg CO2 fire extinguisher in the lunchroom was expired by two weeks. Pressure gauge indicator was within normal green range.,NO,72.8%,Hot Work,Hot Work Controls & Fire Watch Deficient,PENDING_REVIEW
OIL-2026-0116,2026-04-22,Naharkatiya Drilling Rig D-14,Site Facility,Crane & Mechanical Lifting,Unsafe Condition,Mobile 25-ton hydraulic crane was lifting a 6-ton mud pump skid using a severely frayed synthetic webbing sling showing cut fibers and without third-party load test certification. Crew was standing directly under suspended load.,YES,88.2%,Safe Mechanical Lifting,Rigging & Sling Integrity Compromised,NOT_REQUIRED
OIL-2026-0117,2026-07-09,Jorajan Wellhead Installation W-22,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Muster point directional sign board paint was faded and weathered by sunlight near the perimeter fence gate.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0118,2026-06-25,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Mechanical Maintenance & Piping,Unsafe Act,Fitter opened high-pressure drain valve on separator V-301 without depressurizing the manifold. 85 psi trapped hydrocarbon condensate escaped near operators. No LOTO applied on upstream isolation valve.,YES,96.6%,Energy Isolation,LOTO / Energy Isolation not verified,NOT_REQUIRED
OIL-2026-0119,2026-01-29,Duliajan Central Workshop,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Store helper was not wearing protective leather gloves while unboxing cardboard cartons containing paper stationery in the administrative warehouse.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0120,2026-04-17,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Mechanical Maintenance & Piping,Unsafe Act,Fitter opened high-pressure drain valve on separator V-301 without depressurizing the manifold. 85 psi trapped hydrocarbon condensate escaped near operators. No LOTO applied on upstream isolation valve.,YES,96.6%,Energy Isolation,LOTO / Energy Isolation not verified,NOT_REQUIRED
OIL-2026-0121,2026-08-12,Dikom Pipeline Manifold & Pigging Area,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Technician walked across non-operational asphalt parking lot without wearing clear safety spectacles in broad daylight.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0122,2026-03-08,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Vessel & Tank Cleaning,Near Miss,Contract cleaning crew entered Crude Storage Tank T-04 through bottom manhole without conducting continuous multi-gas atmospheric testing. Oxygen level was later tested at 18.2% and standby watch was absent.,NO,72.8%,Confined Space,Confined Space Entry Protocol Violated,PENDING_REVIEW
OIL-2026-0123,2026-02-21,Tengakhat Compressor Station,HP Compressor House,Scaffolding & Rigging,Unsafe Condition,"Scaffold erected for high-pressure gas header inspection at Tengakhat Compressor Station had missing middle guard rails, loose wooden planks, and no toe-boards at a working height of 7.5 meters.",YES,89.6%,Working at Height,Fall Protection / Guardrails Inadequate,NOT_REQUIRED
OIL-2026-0124,2026-04-22,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Vessel & Tank Cleaning,Unsafe Act,"Technician climbed inside cellar pit on Rig D-14 to retrieve dropped wrench without an entry permit, gas test, or forced ventilation while drilling mud was degassing nearby.",NO,78.4%,Confined Space,Permit to Work & Authorization Violation,APPROVED
OIL-2026-0125,2026-03-08,Digboi Production Facility & Tank Farm,Pipeline Manifold & Pigging Station,Crude & Material Transportation,Near Miss,"Heavy pipe delivery flatbed truck suffered brake failure while descending steep grade near Digboi bypass due to unperformed pre-trip brake inspection, narrowly avoiding rollover into pipeline easement.",NO,72.8%,Bypassing Safety Controls,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0126,2026-08-28,Jorajan Wellhead Installation W-22,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Muster point directional sign board paint was faded and weathered by sunlight near the perimeter fence gate.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0127,2026-04-27,Duliajan Central Workshop,Electrical Switchgear & MCC Room,Electrical Maintenance,Near Miss,Electrician was replacing contacts on 11kV busbar in Duliajan Central Substation without applying earthing switch or verifying zero energy state with a calibrated voltage detector.,YES,95.2%,Energy Isolation,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0128,2026-05-24,Jorajan Wellhead Installation W-22,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Muster point directional sign board paint was faded and weathered by sunlight near the perimeter fence gate.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0129,2026-01-16,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Vessel & Tank Cleaning,Near Miss,Contract cleaning crew entered Crude Storage Tank T-04 through bottom manhole without conducting continuous multi-gas atmospheric testing. Oxygen level was later tested at 18.2% and standby watch was absent.,NO,72.8%,Confined Space,Confined Space Entry Protocol Violated,PENDING_REVIEW
OIL-2026-0130,2026-05-22,Duliajan Central Workshop,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Store helper was not wearing protective leather gloves while unboxing cardboard cartons containing paper stationery in the administrative warehouse.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0131,2026-01-07,Duliajan Central Workshop,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Loose computer monitor power cable trailing across walkway behind reception desk in field office administration room.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0132,2026-08-29,Duliajan Central Workshop,Electrical Switchgear & MCC Room,Electrical Maintenance,Near Miss,Electrician was replacing contacts on 11kV busbar in Duliajan Central Substation without applying earthing switch or verifying zero energy state with a calibrated voltage detector.,YES,95.2%,Energy Isolation,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0133,2026-02-15,Shalmari Workover Rig WR-05,Rig Floor & Wellhead Area,Drilling & Well Construction,Near Miss,"While hoisting drill collars on Rig WR-05, an unlatched 4-inch casing tong jaw weighing 18 kg slipped from the derrick and fell 12 meters, landing 1.5 meters from the floor roughneck in the line of fire.",YES,92.4%,Hot Work,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0134,2026-02-27,Baghjan Well Area B-02,Rig Floor & Wellhead Area,Well Intervention & Workover,Near Miss,Wireline crew opened wellhead swab valve on sour gas well B-02 without wearing personal multi-gas detectors or keeping 30-minute positive pressure SCBA units ready at the staging area. H2S concentration registered 15 ppm shortly after.,YES,96.6%,Toxic Gas & H2S Exposure,Gas Monitoring / Detection System Failure,NOT_REQUIRED
OIL-2026-0135,2026-01-19,Shalmari Workover Rig WR-05,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Contractor employee was carrying two small 2-meter plastic conduit pipes across the yard without a helper.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0136,2026-04-11,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Scaffolding & Rigging,Unsafe Act,Derrickman was observed working on the monkey board at 28 meters elevation during pipe racking with his full-body safety harness lifeline unclipped from the certified anchor point.,YES,92.4%,Working at Height,Fall Protection / Guardrails Inadequate,APPROVED
OIL-2026-0137,2026-03-12,Duliajan Central Workshop,Site Facility,Crane & Mechanical Lifting,Near Miss,"During offloading of casing pipes from trailer, lifting shackle pin backed out due to missing split pin. One 2-ton casing pipe slipped out of the sling assembly, narrowly missing the banksman.",YES,88.2%,Safe Mechanical Lifting,Rigging & Sling Integrity Compromised,NOT_REQUIRED
OIL-2026-0138,2026-04-30,Dikom Pipeline Manifold & Pigging Area,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Technician walked across non-operational asphalt parking lot without wearing clear safety spectacles in broad daylight.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0139,2026-04-22,Madhuban EPS & Separation Plant,Site Facility,Hot Work & Fabrication,Unsafe Act,Fabrication crew commenced cutting torch operation on pipe support bracket 4 meters from an active hydrocarbon condensate drainage trench without conducting explosive gas test (LEL) and with no fire watch present.,NO,72.8%,Hot Work,Hot Work Controls & Fire Watch Deficient,PENDING_REVIEW
OIL-2026-0140,2026-07-10,Digboi Production Facility & Tank Farm,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,"One fluorescent ceiling light tube in the field instrumentation tool room was flickering, causing slightly dim lighting over the workbench.",NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0141,2026-05-26,Dikom Pipeline Manifold & Pigging Area,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Technician walked across non-operational asphalt parking lot without wearing clear safety spectacles in broad daylight.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0142,2026-07-06,Moran Gas Gathering Station (GGS-1),Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Inspection tag on 5 kg CO2 fire extinguisher in the lunchroom was expired by two weeks. Pressure gauge indicator was within normal green range.,NO,72.8%,Hot Work,Hot Work Controls & Fire Watch Deficient,PENDING_REVIEW
OIL-2026-0143,2026-02-12,Baghjan Well Area B-02,Rig Floor & Wellhead Area,Well Intervention & Workover,Near Miss,Wireline crew opened wellhead swab valve on sour gas well B-02 without wearing personal multi-gas detectors or keeping 30-minute positive pressure SCBA units ready at the staging area. H2S concentration registered 15 ppm shortly after.,YES,96.6%,Toxic Gas & H2S Exposure,Gas Monitoring / Detection System Failure,APPROVED
OIL-2026-0144,2026-01-18,Tengakhat Compressor Station,HP Compressor House,Scaffolding & Rigging,Unsafe Condition,"Scaffold erected for high-pressure gas header inspection at Tengakhat Compressor Station had missing middle guard rails, loose wooden planks, and no toe-boards at a working height of 7.5 meters.",YES,89.6%,Working at Height,Fall Protection / Guardrails Inadequate,NOT_REQUIRED
OIL-2026-0145,2026-01-19,Madhuban EPS & Separation Plant,Site Facility,Mechanical Maintenance & Piping,Unsafe Act,Control room operator installed a manual mechanical lock on emergency shutdown valve ESDV-101 to prevent recurring production line shutdown without obtaining signed Management of Change (MOC) bypass permit.,NO,72.8%,Bypassing Safety Controls,Permit to Work & Authorization Violation,PENDING_REVIEW
OIL-2026-0146,2026-03-25,Madhuban EPS & Separation Plant,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Operator discarded used oily cleaning cotton rags in standard general waste bin instead of designated red hazardous waste container.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0147,2026-01-16,Digboi Production Facility & Tank Farm,Crude Storage & Separation Unit,Mechanical Maintenance & Piping,Unsafe Act,Fitter opened high-pressure drain valve on separator V-301 without depressurizing the manifold. 85 psi trapped hydrocarbon condensate escaped near operators. No LOTO applied on upstream isolation valve.,YES,96.6%,Energy Isolation,LOTO / Energy Isolation not verified,NOT_REQUIRED
OIL-2026-0148,2026-08-27,Moran Gas Gathering Station (GGS-1),Gas Gathering Station (GGS),Routine Inspection & Housekeeping,Unsafe Condition,"Fixed toxic gas detector at Moran GGS compressor hall had power cable disconnected, disabling early detection alarm for hazardous gas leak in confined compressor shed.",YES,89.6%,Toxic Gas & H2S Exposure,Gas Monitoring / Detection System Failure,NOT_REQUIRED
OIL-2026-0149,2026-01-18,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Scaffolding & Rigging,Unsafe Act,Derrickman was observed working on the monkey board at 28 meters elevation during pipe racking with his full-body safety harness lifeline unclipped from the certified anchor point.,YES,92.4%,Working at Height,Fall Protection / Guardrails Inadequate,NOT_REQUIRED
OIL-2026-0150,2026-08-09,Duliajan Central Workshop,Electrical Switchgear & MCC Room,Electrical Maintenance,Near Miss,Electrician was replacing contacts on 11kV busbar in Duliajan Central Substation without applying earthing switch or verifying zero energy state with a calibrated voltage detector.,YES,95.2%,Energy Isolation,Standard Operational Anomaly,APPROVED
OIL-2026-0151,2026-01-21,Duliajan Central Workshop,Central Maintenance Workshop,Routine Inspection & Housekeeping,Unsafe Condition,"Small puddle of rainwater and spilled detergent noticed near the workshop main entrance hallway, posing minor slipping hazard to office staff.",NO,75.6%,General UA/UC & Housekeeping,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0152,2026-04-17,Shalmari Workover Rig WR-05,Rig Floor & Wellhead Area,Drilling & Well Construction,Near Miss,"While hoisting drill collars on Rig WR-05, an unlatched 4-inch casing tong jaw weighing 18 kg slipped from the derrick and fell 12 meters, landing 1.5 meters from the floor roughneck in the line of fire.",YES,92.4%,Hot Work,Standard Operational Anomaly,APPROVED
OIL-2026-0153,2026-05-29,Shalmari Workover Rig WR-05,Site Facility,Routine Inspection & Housekeeping,Unsafe Act,Contractor employee was carrying two small 2-meter plastic conduit pipes across the yard without a helper.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0154,2026-06-01,Shalmari Workover Rig WR-05,Rig Floor & Wellhead Area,Drilling & Well Construction,Near Miss,"While hoisting drill collars on Rig WR-05, an unlatched 4-inch casing tong jaw weighing 18 kg slipped from the derrick and fell 12 meters, landing 1.5 meters from the floor roughneck in the line of fire.",YES,92.4%,Hot Work,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0155,2026-01-24,Duliajan Central Workshop,Central Maintenance Workshop,Routine Inspection & Housekeeping,Unsafe Condition,"Small puddle of rainwater and spilled detergent noticed near the workshop main entrance hallway, posing minor slipping hazard to office staff.",NO,75.6%,General UA/UC & Housekeeping,Standard Operational Anomaly,NOT_REQUIRED
OIL-2026-0156,2026-05-28,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Drilling & Well Construction,Unsafe Condition,Blowout preventer (BOP) hydraulic control accumulator low-pressure audible alarm buzzer was silenced and wire disconnected on the remote control panel on rig floor.,YES,98.0%,Bypassing Safety Controls,Gas Monitoring / Detection System Failure,NOT_REQUIRED
OIL-2026-0157,2026-02-25,Dikom Pipeline Manifold & Pigging Area,Pipeline Manifold & Pigging Station,Pressure Testing & Purging,Unsafe Condition,High-pressure hydrotest manifold pressurized to 4500 psi was missing safety whipchecks and securing safety cables on the flexible hose connections in the main crew walkway.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0158,2026-07-06,Moran Gas Gathering Station (GGS-1),Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Inspection tag on 5 kg CO2 fire extinguisher in the lunchroom was expired by two weeks. Pressure gauge indicator was within normal green range.,NO,72.8%,Hot Work,Hot Work Controls & Fire Watch Deficient,PENDING_REVIEW
OIL-2026-0159,2026-03-06,Moran Gas Gathering Station (GGS-1),Crude Storage & Separation Unit,Hot Work & Fabrication,Near Miss,Welder initiated hot work arc welding on test separator skid while flammable hydrocarbon vapors were venting from nearby atmospheric vent pipe. Fire blanket was not deployed.,YES,88.2%,Hot Work,Hot Work Controls & Fire Watch Deficient,NOT_REQUIRED
OIL-2026-0160,2026-06-24,Naharkatiya Drilling Rig D-14,Rig Floor & Wellhead Area,Vessel & Tank Cleaning,Unsafe Act,"Technician climbed inside cellar pit on Rig D-14 to retrieve dropped wrench without an entry permit, gas test, or forced ventilation while drilling mud was degassing nearby.",NO,78.4%,Confined Space,Permit to Work & Authorization Violation,NOT_REQUIRED
OIL-2026-0161,2026-03-25,Digboi Production Facility & Tank Farm,Pipeline Manifold & Pigging Station,Crude & Material Transportation,Near Miss,"Heavy pipe delivery flatbed truck suffered brake failure while descending steep grade near Digboi bypass due to unperformed pre-trip brake inspection, narrowly avoiding rollover into pipeline easement.",NO,72.8%,Bypassing Safety Controls,Standard Operational Anomaly,PENDING_REVIEW
OIL-2026-0162,2026-08-31,Kusijan Water Injection Plant,Site Facility,Routine Inspection & Housekeeping,Unsafe Condition,Emergency eye wash station dust covers were missing in the water testing laboratory. Water flow testing confirmed unit operates normally.,NO,72.8%,General UA/UC & Housekeeping,Standard Operational Anomaly,PENDING_REVIEW
